item,sub,tit,des
0,1,九品川,來店就送茶品四選一
0,2,永康刀削麵,來店消費就送皮蛋豆腐
0,3,白水豆花,單筆消費第二碗豆花折扣30元
0,4,皮兒吧永康一店,來店就送手工皮革捲線器
0,5,郭元益,喔熊餅乾2入
0,6,滿樂,"任一餐點+飲料,現折50元"
1,1,郭元益,喔熊餅乾2入
1,2,聚落山海,買白水豆花內用滷味折扣30元
1,3,小虎咖啡,親熬鳳梨愛玉/柴蜜柚子愛玉<br>百香果愛玉/冬瓜檸檬愛玉，任選
1,4,名辰牛肉麵,來店就送小菜一份
1,5,康橋精品,來店就送日本角落小生物&ensp;小文具一份
1,6,皓雅日本生活百貨,來店消費不限金額<br>送日本製&ensp;Mitsuei&ensp;檸檬或橘子洗碗精600ml&ensp;1瓶
2,1,梅門德義文創天地_明茶闇坊,消費不限金額+10元送一口鳳梨酥?
2,2,皮兒吧永康二店,來店就送手工皮革捲線器
2,3,呷七碗,消費滿250，現折50元
2,4,九品川,來店就送茶品四選一
2,5,MOLU滿樂,任一餐點+飲料，滿百折50元
2,6,立裴米緹咖啡,消費送水滴咖啡一杯
3,1,台灣宜龍,來店送綠茶乳油木果-手工茶皂?
3,2,Florame&ensp;法恩&ensp;薰衣草花園,來店送花園完美系列面膜一片?
3,3,金金良甜,來店送一支蜜吐司-口味任選?
3,4,東海萊姆園,來店就送原味萊姆汁
3,5,志明紅麵線,來店就送小碗紅麵線?
3,6,餃子樂東門店,任意消費兌換45元小菜一份
